customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,property_valuation
24,Female,55,3/12/1977,Research Assistant I,Argiculture,Mass Customer,FALSE,TRUE,15,2153,NSW,10
25,Male,72,2/12/1976,Accounting Assistant III,Financial Services,Mass Customer,FALSE,TRUE,21,4413,QLD,3
26,Female,12,10/06/1978,Editor,Financial Services,Mass Customer,FALSE,TRUE,16,4740,QLD,5
27,Male,37,25/09/1978,Research Nurse,Health,Mass Customer,FALSE,TRUE,12,3218,VIC,7
28,Male,5,30/09/1973,Senior Quality Engineer,Health,Affluent Customer,FALSE,TRUE,21,4868,QLD,4
29,Female,62,22/06/1968,Safety Technician III,Manufacturing,Mass Customer,FALSE,FALSE,19,4116,QLD,7
30,Male,18,18/10/1961,,IT,Affluent Customer,FALSE,TRUE,6,2519,NSW,11
31,Female,3,24/11/1962,Staff Accountant III,Telecommunications,High Net Worth,FALSE,TRUE,14,2135,NSW,12
32,Female,17,20/04/1995,Legal Assistant,Manufacturing,Affluent Customer,FALSE,FALSE,4,2756,NSW,9
33,Male,44,25/06/1957,Product Engineer,,Affluent Customer,FALSE,TRUE,11,2170,NSW,9
35,Female,40,28/09/1963,Information Systems Manager,Health,High Net Worth,FALSE,TRUE,16,4127,QLD,6
36,Female,33,9/11/1977,VP Quality Control,,Affluent Customer,FALSE,FALSE,22,2535,NSW,8
37,Female,46,22/12/1985,Social Worker,Health,High Net Worth,FALSE,FALSE,16,4726,QLD,1
38,Female,37,29/10/1955,Senior Cost Accountant,Financial Services,Affluent Customer,FALSE,FALSE,20,4805,QLD,4
39,Male,5,16/04/1979,Assistant Media Planner,Entertainment,Mass Customer,FALSE,FALSE,22,2212,NSW,10
40,Female,91,27/10/1981,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,FALSE,FALSE,14,2207,NSW,8
41,Male,64,14/04/1976,Food Chemist,Health,Mass Customer,FALSE,FALSE,16,3350,VIC,9
42,Female,24,28/03/1977,Accountant III,Manufacturing,Mass Customer,FALSE,FALSE,18,3931,VIC,10
43,Female,38,1/03/1983,Director of Sales,Retail,Mass Customer,FALSE,FALSE,5,4018,QLD,8
44,Male,63,18/10/1981,Assistant Media Planner,Entertainment,Affluent Customer,FALSE,TRUE,17,4670,QLD,2
45,Male,64,23/09/1975,Senior Financial Analyst,Financial Services,Mass Customer,FALSE,FALSE,8,2480,NSW,3
46,Female,98,26/02/1972,,,Affluent Customer,FALSE,TRUE,15,3212,VIC,6
47,Male,51,22/10/1992,Registered Nurse,Health,Affluent Customer,FALSE,FALSE,2,2322,NSW,4
48,Female,46,15/08/1975,Biostatistician II,,Mass Customer,FALSE,TRUE,8,3198,VIC,9
49,Male,63,26/01/1994,VP Quality Control,,Affluent Customer,FALSE,FALSE,1,2210,NSW,9
50,Male,38,1/10/1980,Account Executive,Manufacturing,Mass Customer,FALSE,TRUE,16,2047,NSW,10
51,Male,68,5/12/1959,Computer Systems Analyst II,Retail,Mass Customer,FALSE,FALSE,18,4503,QLD,5
52,Male,57,22/06/1988,,Financial Services,Mass Customer,FALSE,TRUE,13,2145,NSW,8
53,Female,22,18/04/1954,Software Test Engineer II,Financial Services,Mass Customer,FALSE,FALSE,16,4350,QLD,3
54,Female,2,24/07/1966,Sales Associate,Property,Mass Customer,FALSE,TRUE,18,2142,NSW,8
55,Male,48,24/09/1956,Paralegal,Financial Services,Affluent Customer,FALSE,TRUE,7,2029,NSW,10
56,Male,44,4/07/1996,VP Sales,Property,Mass Customer,FALSE,TRUE,4,2127,NSW,10
57,Male,87,13/06/1988,Chief Design Engineer,,Mass Customer,FALSE,TRUE,13,4280,QLD,6
58,Female,26,4/07/1967,Office Assistant III,Financial Services,Affluent Customer,FALSE,TRUE,17,2166,NSW,9
59,Male,60,8/02/2000,Physical Therapy Assistant,,High Net Worth,FALSE,FALSE,3,2046,NSW,9
60,Female,18,4/02/1970,,Manufacturing,Mass Customer,FALSE,FALSE,10,2026,NSW,10
61,Female,47,29/11/1959,Help Desk Operator,Property,High Net Worth,FALSE,FALSE,13,2765,NSW,7
62,Female,38,6/07/1979,,IT,Mass Customer,FALSE,TRUE,22,2749,NSW,8
63,Female,58,3/07/1965,Senior Quality Engineer,Retail,Mass Customer,FALSE,TRUE,16,2745,NSW,9
64,Male,73,25/03/1978,Legal Assistant,IT,High Net Worth,FALSE,FALSE,4,3752,VIC,8
65,Male,21,1/04/1976,Information Systems Manager,Financial Services,Affluent Customer,FALSE,TRUE,15,2153,NSW,10
66,Male,46,11/03/2002,Account Executive,Argiculture,High Net Worth,FALSE,FALSE,1,2217,NSW,10
68,Female,37,21/04/1974,Information Systems Manager,,Affluent Customer,FALSE,FALSE,9,3046,VIC,7
69,Female,16,22/06/1969,Web Developer II,,Mass Customer,FALSE,FALSE,6,3183,VIC,7
70,Male,78,27/02/1993,Paralegal,Financial Services,Affluent Customer,FALSE,FALSE,8,2070,NSW,12
71,Male,30,27/01/1985,Research Associate,Argiculture,Affluent Customer,FALSE,TRUE,12,2213,NSW,10
72,Male,93,13/02/1972,Administrative Officer,Manufacturing,Affluent Customer,FALSE,TRUE,16,4208,QLD,6
73,Female,16,27/05/1960,Teacher,,Affluent Customer,FALSE,TRUE,5,2774,NSW,8
74,Female,94,19/06/1969,,,Mass Customer,FALSE,TRUE,6,4133,QLD,8
75,Female,28,15/07/1978,VP Product Management,Property,Mass Customer,FALSE,FALSE,19,2756,NSW,8
76,Female,20,23/01/1978,Statistician II,Retail,High Net Worth,FALSE,TRUE,18,4213,QLD,9
77,Male,79,12/09/1989,Automation Specialist IV,Financial Services,Mass Customer,FALSE,FALSE,7,4170,QLD,5
78,Male,37,12/03/1985,Business Systems Development Analyst,Argiculture,Affluent Customer,FALSE,FALSE,8,2153,NSW,9
79,Female,76,2/10/1968,Account Executive,Manufacturing,Mass Customer,FALSE,FALSE,18,2073,NSW,10
80,Male,11,24/04/1978,Data Coordiator,Entertainment,Mass Customer,FALSE,FALSE,13,3561,VIC,1
81,Female,58,4/09/1986,,Health,High Net Worth,FALSE,FALSE,13,2330,NSW,6
82,Female,93,28/06/1965,Software Test Engineer III,Property,High Net Worth,FALSE,FALSE,19,3977,VIC,8
83,Male,97,26/02/1967,Internal Auditor,IT,Mass Customer,FALSE,TRUE,18,2204,NSW,12
84,Male,78,7/02/1958,Accountant III,,Mass Customer,FALSE,TRUE,14,2086,NSW,11
85,Male,1,21/05/1958,Analyst Programmer,,Mass Customer,FALSE,FALSE,8,2226,NSW,11
86,Male,75,4/03/1989,Occupational Therapist,Health,High Net Worth,FALSE,TRUE,7,2075,NSW,11
87,Male,78,23/04/1974,Editor,Financial Services,Mass Customer,FALSE,FALSE,8,2038,NSW,12
88,Female,41,3/02/1966,Help Desk Operator,Property,High Net Worth,FALSE,TRUE,7,2069,NSW,12
89,Male,74,22/01/1967,Speech Pathologist,Health,Mass Customer,FALSE,TRUE,14,2100,NSW,11
90,Male,76,12/11/1984,Quality Control Specialist,Manufacturing,Mass Customer,FALSE,FALSE,11,2233,NSW,10
91,Male,69,24/02/1955,Senior Financial Analyst,Financial Services,Affluent Customer,FALSE,TRUE,17,2166,NSW,9
92,Female,98,11/09/1980,Recruiting Manager,Health,Mass Customer,FALSE,FALSE,12,3133,VIC,10
93,Male,63,16/07/1976,Project Manager,Retail,Mass Customer,FALSE,TRUE,10,3070,VIC,10
94,Male,33,7/08/1974,Civil Engineer,Manufacturing,Mass Customer,FALSE,FALSE,21,2777,NSW,7
95,Female,67,25/12/1960,Software Engineer III,Manufacturing,Affluent Customer,FALSE,TRUE,8,3133,VIC,10
96,Male,33,31/08/1968,Nuclear Power Engineer,Manufacturing,Mass Customer,FALSE,FALSE,15,2125,NSW,11
97,Male,16,27/07/1979,Community Outreach Specialist,Financial Services,Mass Customer,FALSE,TRUE,10,2766,NSW,8
98,Female,19,17/03/1956,Safety Technician IV,Health,Mass Customer,FALSE,FALSE,7,2209,NSW,10
99,Male,97,13/06/1998,VP Accounting,Financial Services,Mass Customer,FALSE,FALSE,3,2160,NSW,9
100,Male,80,11/05/1968,General Manager,Financial Services,Mass Customer,FALSE,TRUE,4,2065,NSW,12
101,Male,83,29/12/1975,Nurse Practicioner,Manufacturing,High Net Worth,FALSE,FALSE,11,2150,NSW,10
102,Male,51,27/11/1956,Quality Control Specialist,Manufacturing,Affluent Customer,FALSE,FALSE,16,2168,NSW,9
103,Female,49,21/04/1997,Product Engineer,Financial Services,Affluent Customer,FALSE,TRUE,4,2046,NSW,12
104,Female,40,6/06/1978,Automation Specialist II,Health,Mass Customer,FALSE,TRUE,9,4171,QLD,10
105,Female,25,17/09/2001,Recruiting Manager,Manufacturing,Mass Customer,FALSE,FALSE,1,2155,NSW,10
107,Female,97,1/07/1990,Nurse Practicioner,Financial Services,Mass Customer,FALSE,TRUE,9,2096,NSW,12
108,Female,4,14/03/1994,,,High Net Worth,FALSE,FALSE,3,2750,NSW,8
109,Male,16,11/12/1978,Marketing Assistant,,Affluent Customer,FALSE,TRUE,4,2217,NSW,11
110,Male,23,31/07/2000,,Financial Services,Affluent Customer,FALSE,FALSE,1,3977,VIC,8
111,Female,65,29/08/1993,Analyst Programmer,,Mass Customer,FALSE,FALSE,2,2093,NSW,12
112,Female,88,12/08/1975,Marketing Manager,Retail,High Net Worth,FALSE,FALSE,12,3204,VIC,11
113,Male,67,6/05/1956,Staff Scientist,,Mass Customer,FALSE,FALSE,20,4300,QLD,4
114,Female,10,23/10/1985,Teacher,Entertainment,Affluent Customer,FALSE,FALSE,8,2170,NSW,9
115,Male,77,21/12/1981,Account Executive,Health,Mass Customer,FALSE,FALSE,18,3844,VIC,1
116,Male,49,5/02/1999,Assistant Professor,Manufacturing,Affluent Customer,FALSE,TRUE,2,2168,NSW,8
117,Female,75,23/02/1982,Marketing Manager,Manufacturing,Mass Customer,FALSE,FALSE,15,4226,QLD,6
118,Male,43,12/11/1959,Budget/Accounting Analyst IV,,High Net Worth,FALSE,FALSE,19,3192,VIC,10
119,Male,9,4/12/1981,Associate Professor,,High Net Worth,FALSE,TRUE,9,3070,VIC,7
120,Male,80,2/09/1978,Legal Assistant,Financial Services,High Net Worth,FALSE,TRUE,4,2485,NSW,2
121,Male,82,2/10/1957,Graphic Designer,Manufacturing,Mass Customer,FALSE,FALSE,15,2097,NSW,9
122,Male,87,19/04/1979,Quality Control Specialist,Financial Services,Mass Customer,FALSE,TRUE,12,4817,QLD,2
123,Female,85,3/12/1988,Analyst Programmer,Financial Services,High Net Worth,FALSE,FALSE,15,2516,NSW,8
124,Female,27,3/05/1995,Administrative Assistant II,Health,High Net Worth,FALSE,TRUE,5,3074,VIC,8
125,Female,94,17/03/1960,Computer Systems Analyst II,Property,Mass Customer,FALSE,FALSE,16,2213,NSW,10
126,Male,53,15/10/1992,Administrative Officer,Health,Mass Customer,FALSE,TRUE,3,4508,QLD,4
127,Female,81,3/12/1974,Compensation Analyst,Financial Services,Mass Customer,FALSE,FALSE,19,4405,QLD,1
128,Male,73,17/07/1977,Systems Administrator III,Property,Mass Customer,FALSE,TRUE,12,2452,NSW,5
129,Male,64,20/07/1985,Financial Advisor,Financial Services,High Net Worth,FALSE,TRUE,19,2142,NSW,9
130,Male,32,18/07/1997,Chemical Engineer,Manufacturing,Mass Customer,FALSE,FALSE,1,2205,NSW,7
131,Female,57,16/10/1964,Administrative Officer,Retail,High Net Worth,FALSE,FALSE,8,4132,QLD,3
132,Female,5,7/07/1963,Web Designer I,Manufacturing,Mass Customer,FALSE,TRUE,9,2145,NSW,8
133,Male,12,13/06/1977,VP Accounting,Financial Services,Mass Customer,FALSE,TRUE,16,4744,QLD,1
134,Female,34,1/08/1997,Legal Assistant,Telecommunications,Affluent Customer,FALSE,TRUE,5,2158,NSW,11
135,Female,18,18/01/1975,Internal Auditor,IT,Mass Customer,FALSE,FALSE,3,3201,VIC,6
136,Male,46,26/05/1973,Senior Developer,Manufacturing,High Net Worth,FALSE,TRUE,7,4178,QLD,3
137,Male,27,21/11/1987,Office Assistant II,Property,High Net Worth,FALSE,FALSE,10,2112,NSW,10
138,Male,5,28/04/1985,Recruiter,Financial Services,Affluent Customer,FALSE,TRUE,13,2033,NSW,9
140,Male,9,20/05/1994,Programmer Analyst III,Manufacturing,Mass Customer,FALSE,FALSE,2,3186,VIC,9
141,Male,67,25/06/1954,Teacher,Financial Services,High Net Worth,FALSE,TRUE,10,2097,NSW,11
142,Male,57,7/08/1967,Quality Engineer,Health,Affluent Customer,FALSE,FALSE,17,3058,VIC,9
143,Male,19,1/09/1957,Operator,Argiculture,Mass Customer,FALSE,TRUE,11,4017,QLD,6
145,Male,33,21/07/1997,Account Executive,Financial Services,Mass Customer,FALSE,FALSE,4,2285,NSW,5
146,Male,34,8/04/1985,Quality Control Specialist,Manufacturing,Mass Customer,FALSE,FALSE,8,2219,NSW,11
147,Female,32,6/12/1973,Analog Circuit Design manager,Health,Mass Customer,FALSE,TRUE,10,2065,NSW,11
148,Female,69,8/05/1981,Programmer Analyst III,,Mass Customer,FALSE,TRUE,5,3216,VIC,8
149,Female,41,31/01/1995,Research Nurse,Health,Mass Customer,FALSE,TRUE,1,4509,QLD,7
150,Male,6,23/08/1983,Cost Accountant,Financial Services,Affluent Customer,FALSE,FALSE,17,2330,NSW,7
151,Male,36,31/01/1965,Marketing Manager,Manufacturing,Mass Customer,FALSE,TRUE,13,2759,NSW,9
152,Female,5,3/03/1981,Compensation Analyst,Financial Services,Mass Customer,FALSE,FALSE,16,2069,NSW,12
153,Female,73,28/07/1977,Assistant Media Planner,Entertainment,Mass Customer,FALSE,TRUE,12,2747,NSW,8
154,Female,90,13/02/1958,Junior Executive,,Mass Customer,FALSE,FALSE,11,2227,NSW,8
155,Male,4,28/12/1985,Quality Engineer,Manufacturing,Mass Customer,FALSE,FALSE,10,2025,NSW,10
156,Female,23,9/09/1979,Cost Accountant,Financial Services,Mass Customer,FALSE,TRUE,11,3191,VIC,11
157,Male,97,23/11/1974,Financial Advisor,Financial Services,Affluent Customer,FALSE,FALSE,16,3025,VIC,8
158,Male,99,3/09/1984,Internal Auditor,,Affluent Customer,FALSE,FALSE,5,2263,NSW,6
159,Male,90,12/05/1987,Research Nurse,Health,Affluent Customer,FALSE,FALSE,13,2233,NSW,10
160,Male,5,15/07/1964,Registered Nurse,Health,Mass Customer,FALSE,FALSE,18,2154,NSW,11
161,Male,49,21/01/1976,,,Mass Customer,FALSE,FALSE,16,2065,NSW,10
162,Male,90,12/08/1979,Nurse Practicioner,IT,Mass Customer,FALSE,FALSE,15,2119,NSW,10
163,Female,58,6/09/1976,Librarian,Entertainment,High Net Worth,FALSE,TRUE,14,3016,VIC,10
164,Female,55,7/08/1999,Senior Editor,Retail,Affluent Customer,FALSE,TRUE,1,4113,QLD,4
165,Male,61,25/03/1984,Administrative Officer,Argiculture,Mass Customer,FALSE,TRUE,12,2032,NSW,10
166,Male,54,12/06/1955,Structural Analysis Engineer,Manufacturing,Affluent Customer,FALSE,FALSE,6,4300,QLD,4
167,Female,95,27/10/1969,,Health,High Net Worth,FALSE,TRUE,17,4352,QLD,6
169,Male,20,19/10/1957,Data Coordiator,Telecommunications,High Net Worth,FALSE,TRUE,5,2116,NSW,9
170,Male,80,2/06/1975,Pharmacist,Health,High Net Worth,FALSE,FALSE,21,3057,VIC,8
171,Female,62,4/12/1970,Assistant Manager,Manufacturing,Mass Customer,FALSE,FALSE,10,2099,NSW,11
172,Male,54,12/09/1988,Editor,Manufacturing,Affluent Customer,FALSE,TRUE,6,3749,VIC,4
173,Female,99,2/01/1997,General Manager,Health,Affluent Customer,FALSE,FALSE,1,2766,NSW,8
174,Female,93,26/11/1989,Food Chemist,Health,Mass Customer,FALSE,FALSE,12,2148,NSW,9
175,Male,36,28/11/1975,Quality Engineer,Manufacturing,Affluent Customer,FALSE,FALSE,5,3145,VIC,11
176,Male,39,13/04/1992,Accountant I,Property,Mass Customer,FALSE,FALSE,10,2021,NSW,8
177,Female,25,9/11/1989,Professor,Financial Services,High Net Worth,FALSE,FALSE,4,2333,NSW,5
178,Male,2,3/04/1967,,,Affluent Customer,FALSE,FALSE,8,2783,NSW,7
179,Male,23,11/05/1966,Environmental Tech,Manufacturing,High Net Worth,FALSE,TRUE,6,2280,NSW,9
180,Female,16,17/09/1971,Web Designer III,Argiculture,Affluent Customer,FALSE,FALSE,14,4120,QLD,8
181,Female,49,21/11/1982,Senior Editor,Manufacturing,Mass Customer,FALSE,FALSE,9,3638,VIC,1
182,Male,99,20/11/1992,Sales Associate,Financial Services,Affluent Customer,FALSE,TRUE,7,4300,QLD,4
183,Female,7,5/08/1997,Geologist III,Retail,Affluent Customer,FALSE,FALSE,3,2074,NSW,10
184,Male,40,13/12/1971,Marketing Manager,Manufacturing,High Net Worth,FALSE,TRUE,7,2880,NSW,1
185,Male,80,13/12/1979,,Property,Mass Customer,FALSE,TRUE,13,2430,NSW,5
186,Female,46,6/05/1974,Software Test Engineer I,Financial Services,Mass Customer,FALSE,FALSE,3,4560,QLD,7
187,Male,97,28/01/1954,Structural Engineer,,Mass Customer,FALSE,FALSE,11,2088,NSW,10
188,Female,54,22/06/1975,Safety Technician II,Property,High Net Worth,FALSE,TRUE,13,2220,NSW,11
189,Male,73,19/07/1981,Safety Technician I,Financial Services,Affluent Customer,FALSE,FALSE,10,3031,VIC,4
190,Female,42,4/02/1979,Registered Nurse,Health,Affluent Customer,FALSE,FALSE,10,2250,NSW,9
191,Male,22,27/04/1960,Help Desk Operator,,Affluent Customer,FALSE,TRUE,6,2261,NSW,7
192,Female,2,19/11/1978,Junior Executive,Health,Mass Customer,FALSE,TRUE,8,3196,VIC,6
193,Male,13,22/07/1964,Recruiting Manager,Manufacturing,Mass Customer,FALSE,TRUE,12,4352,QLD,7
194,Female,4,16/11/1974,Web Developer III,Financial Services,Affluent Customer,FALSE,FALSE,10,4680,QLD,5
195,Female,34,14/11/1958,Project Manager,Manufacturing,Mass Customer,FALSE,FALSE,6,3143,VIC,9
196,Male,90,22/02/1966,Programmer Analyst II,Manufacturing,High Net Worth,FALSE,FALSE,6,2747,NSW,8
198,Female,82,29/11/1981,Assistant Media Planner,Entertainment,Mass Customer,FALSE,FALSE,16,3021,VIC,7
199,Female,61,13/02/1978,Junior Executive,Health,Mass Customer,FALSE,TRUE,21,2138,NSW,8
200,Male,7,4/02/1957,Physical Therapy Assistant,Property,Affluent Customer,FALSE,TRUE,19,4005,QLD,2
201,Male,45,20/04/1966,Design Engineer,Manufacturing,Mass Customer,FALSE,TRUE,11,2233,NSW,9
202,Female,38,24/06/1963,Librarian,Entertainment,Affluent Customer,FALSE,TRUE,16,4811,QLD,5
203,Male,71,13/01/1964,Senior Quality Engineer,Argiculture,Mass Customer,FALSE,TRUE,11,2085,NSW,11
204,Male,56,1/10/1976,Editor,Financial Services,Mass Customer,FALSE,FALSE,5,3084,VIC,10
205,Male,18,1/12/1958,Administrative Assistant II,Financial Services,Mass Customer,FALSE,TRUE,6,3170,VIC,9
206,Female,98,19/07/1954,Statistician I,,Mass Customer,FALSE,TRUE,14,2066,NSW,9
207,Female,9,10/08/1994,,,Mass Customer,FALSE,FALSE,7,4113,QLD,8
208,Male,57,31/10/1994,Office Assistant III,Property,High Net Worth,FALSE,FALSE,5,4078,QLD,7
209,Male,9,28/08/1957,Analog Circuit Design manager,,Affluent Customer,FALSE,TRUE,6,2222,NSW,11
210,Male,50,18/11/1963,Assistant Manager,Property,Mass Customer,FALSE,FALSE,18,3152,VIC,9
212,Female,21,19/11/2001,Desktop Support Technician,IT,Affluent Customer,FALSE,FALSE,1,4503,QLD,4
213,Male,13,14/05/1996,Actuary,Financial Services,High Net Worth,FALSE,TRUE,6,4655,QLD,4
214,Male,82,29/11/1957,Food Chemist,Health,Mass Customer,FALSE,FALSE,6,4220,QLD,9
215,Female,37,24/06/1974,Assistant Professor,Retail,High Net Worth,FALSE,TRUE,18,4012,QLD,3
216,Female,12,12/01/1995,Quality Engineer,Financial Services,High Net Worth,FALSE,TRUE,7,2153,NSW,10
217,Female,63,9/12/1979,,Manufacturing,High Net Worth,FALSE,FALSE,16,2070,NSW,11
218,Female,37,6/08/1993,Administrative Officer,Property,High Net Worth,FALSE,TRUE,8,2015,NSW,8
219,Male,9,25/11/1964,Database Administrator III,Health,Mass Customer,FALSE,FALSE,7,2776,NSW,8
220,Female,79,10/05/1954,Electrical Engineer,Manufacturing,High Net Worth,FALSE,FALSE,9,3011,VIC,8
221,Female,14,10/03/1980,Tax Accountant,Manufacturing,Mass Customer,FALSE,FALSE,14,2761,NSW,8
222,Male,89,3/09/1978,Clinical Specialist,Health,Mass Customer,FALSE,FALSE,16,2015,NSW,11
223,Male,13,26/11/1983,VP Sales,,Affluent Customer,FALSE,TRUE,14,2502,NSW,7
224,Male,2,3/12/1967,Compensation Analyst,Financial Services,Affluent Customer,FALSE,FALSE,17,2110,NSW,12
225,Female,84,11/03/1977,Pharmacist,Health,Affluent Customer,FALSE,FALSE,13,2566,NSW,9
226,Male,96,11/11/1977,Database Administrator IV,Manufacturing,Mass Customer,FALSE,FALSE,20,2519,NSW,7
227,Male,99,14/08/1973,Accountant I,Entertainment,Mass Customer,FALSE,FALSE,18,2506,NSW,9
228,Female,59,25/05/1986,Systems Administrator II,Manufacturing,High Net Worth,FALSE,FALSE,12,2209,NSW,7
229,Male,30,6/03/1966,,Property,High Net Worth,FALSE,FALSE,19,2116,NSW,10
230,Female,74,24/06/1954,Internal Auditor,Property,High Net Worth,FALSE,FALSE,11,2075,NSW,11
231,Male,48,5/08/1995,Design Engineer,Financial Services,Mass Customer,FALSE,TRUE,3,2226,NSW,10
232,Female,94,11/11/1987,Professor,Retail,Mass Customer,FALSE,FALSE,12,2145,NSW,9
233,Male,34,8/08/1986,Environmental Tech,Property,Mass Customer,FALSE,FALSE,13,2508,NSW,10
234,Female,71,12/08/1969,Chief Design Engineer,Retail,High Net Worth,FALSE,FALSE,12,2036,NSW,10
235,Female,30,26/12/1976,Social Worker,Health,Mass Customer,FALSE,FALSE,15,2018,NSW,8
236,Male,79,30/10/1954,Research Nurse,Health,Affluent Customer,FALSE,FALSE,14,3666,VIC,2
237,Male,18,7/03/1974,Account Coordinator,Property,High Net Worth,FALSE,TRUE,11,2021,NSW,11
238,Male,54,4/02/1984,Programmer III,,Mass Customer,FALSE,TRUE,14,2750,NSW,8
239,Male,62,13/12/1992,Registered Nurse,Health,Affluent Customer,FALSE,FALSE,3,4514,QLD,3
240,Male,49,28/07/1989,Administrative Assistant III,IT,High Net Worth,FALSE,TRUE,15,2525,NSW,9
241,Male,94,9/05/1987,Quality Engineer,Entertainment,Mass Customer,FALSE,FALSE,20,4152,QLD,7
242,Male,17,20/03/1992,Nurse,Property,Affluent Customer,FALSE,FALSE,8,2200,NSW,9
243,Female,94,2/09/1976,Teacher,Manufacturing,High Net Worth,FALSE,TRUE,14,2250,NSW,8
244,Male,57,25/11/1974,,Retail,Affluent Customer,FALSE,FALSE,8,3023,VIC,6
245,Female,6,26/09/2001,Associate Professor,Financial Services,Affluent Customer,FALSE,FALSE,1,3500,VIC,1
246,Female,63,28/02/1991,Technical Writer,Manufacturing,High Net Worth,FALSE,FALSE,9,4300,QLD,5
247,Female,62,6/05/1983,Staff Accountant II,Financial Services,High Net Worth,FALSE,TRUE,13,2283,NSW,4
248,Female,76,15/04/1978,Clinical Specialist,Health,Affluent Customer,FALSE,TRUE,12,2102,NSW,10
249,Male,65,13/09/1992,Quality Control Specialist,IT,High Net Worth,FALSE,FALSE,9,2204,NSW,11
252,Female,39,24/01/1983,Account Coordinator,Property,Mass Customer,FALSE,TRUE,13,2304,NSW,7
253,Female,82,11/05/1997,Food Chemist,Health,Mass Customer,FALSE,TRUE,1,2340,NSW,7
254,Female,98,22/09/1961,Information Systems Manager,Retail,Mass Customer,FALSE,FALSE,14,3580,VIC,1
255,Female,2,15/01/1954,Desktop Support Technician,IT,Mass Customer,FALSE,FALSE,5,3355,VIC,2
256,Female,16,7/05/1975,Director of Sales,Health,High Net Worth,FALSE,TRUE,21,2287,NSW,7
258,Female,24,3/05/1992,Administrative Officer,Manufacturing,High Net Worth,FALSE,FALSE,9,2323,NSW,6
259,Female,70,22/07/1983,Senior Developer,Health,High Net Worth,FALSE,TRUE,3,2320,NSW,6
260,Female,47,30/08/1979,Senior Quality Engineer,Health,High Net Worth,FALSE,TRUE,22,4680,QLD,2
261,Male,74,15/10/1977,Structural Engineer,,Mass Customer,FALSE,FALSE,8,2346,NSW,1
262,Male,97,23/12/1977,,Health,High Net Worth,FALSE,TRUE,10,2031,NSW,10
263,Female,89,19/11/1985,Dental Hygienist,Health,High Net Worth,FALSE,FALSE,7,2064,NSW,9
264,Male,31,7/12/1977,Technical Writer,Health,Mass Customer,FALSE,FALSE,11,2176,NSW,10
265,Male,74,5/10/1965,Sales Representative,Retail,High Net Worth,FALSE,TRUE,18,3195,VIC,9
266,Female,69,19/07/1989,Account Executive,Retail,Affluent Customer,FALSE,FALSE,18,2010,NSW,10
268,Female,60,18/10/1978,Chemical Engineer,Manufacturing,Mass Customer,FALSE,FALSE,10,2752,NSW,9
269,Male,55,19/09/1954,Nurse Practicioner,Property,Mass Customer,FALSE,TRUE,9,3802,VIC,7
270,Female,38,10/12/1970,Budget/Accounting Analyst III,,Mass Customer,FALSE,TRUE,17,3071,VIC,10
271,Female,51,13/02/1991,Financial Advisor,Financial Services,Mass Customer,FALSE,FALSE,4,4735,QLD,2
272,Female,22,6/06/1987,Product Engineer,Retail,Mass Customer,FALSE,TRUE,1,2065,NSW,12
