,customer_id,transaction_count,most_recent_transaction_day,sum_profit,age,gender,wealth_segment,state,job_title,job_industry_category,owns_car,past_3_years_bike_related_purchases,tenure,property_valuation,label,job_cluster
148,2666,4,2410,1424.8200000000002,52.0,Male,Mass Customer,NSW,Occupational Therapist,Health,False,2.0,9.0,8.0,0,0.0
152,76,8,2155,2868.16,45.0,Female,High Net Worth,QLD,Statistician II,Retail,True,20.0,18.0,9.0,2,39.0
160,3368,5,2183,3153.4799999999996,56.0,Female,Affluent Customer,NSW,Technical Writer,Financial Services,False,7.0,16.0,8.0,2,0.0
165,1173,3,2262,348.6199999999999,45.0,Female,High Net Worth,NSW,Statistician IV,Retail,False,58.0,16.0,7.0,0,39.0
168,3214,4,2222,2969.7699999999995,30.0,Female,Mass Customer,QLD,Software Engineer III,Financial Services,True,2.0,9.0,3.0,1,6.0
172,2003,2,2373,214.36999999999995,61.0,Female,High Net Worth,QLD,Statistician III,Manufacturing,True,80.0,8.0,7.0,0,39.0
174,2171,6,2188,1251.33,53.0,Female,High Net Worth,NSW,Pharmacist,Health,False,21.0,10.0,9.0,1,0.0
180,3356,5,2158,2799.7000000000003,64.0,Male,Mass Customer,VIC,Safety Technician II,Financial Services,True,47.0,6.0,8.0,1,31.0
185,1040,4,2315,1768.4300000000003,48.0,Female,High Net Worth,QLD,Food Chemist,Health,False,78.0,9.0,8.0,0,0.0
189,2916,7,2178,2509.8,54.0,Male,Affluent Customer,QLD,Product Engineer,Manufacturing,True,23.0,9.0,8.0,2,17.0
196,427,4,2263,2515.6800000000003,26.0,Male,Mass Customer,NSW,Assistant Media Planner,Entertainment,True,77.0,2.0,11.0,1,0.0
200,2448,6,2160,2580.59,30.0,Female,High Net Worth,NSW,Structural Analysis Engineer,Property,False,5.0,10.0,10.0,2,2.0
206,2570,8,2247,4420.450000000001,46.0,Male,Mass Customer,QLD,Professor,Financial Services,True,13.0,18.0,3.0,2,26.0
214,488,7,2181,1172.1,43.0,Female,Mass Customer,VIC,Help Desk Operator,Property,True,24.0,10.0,2.0,2,15.0
221,165,8,2162,6107.04,39.0,Male,Mass Customer,NSW,Administrative Officer,Argiculture,True,61.0,12.0,10.0,3,19.0
229,1251,4,2215,1481.07,26.0,Male,Mass Customer,QLD,Desktop Support Technician,Property,False,63.0,2.0,6.0,1,0.0
233,3103,8,2213,5040.88,70.0,Female,Mass Customer,QLD,Safety Technician II,Retail,False,5.0,20.0,7.0,3,31.0
241,3108,7,2207,5916.21,56.0,Male,Mass Customer,QLD,Accounting Assistant III,Entertainment,False,94.0,10.0,2.0,3,30.0
248,2549,4,2211,2211.5599999999995,25.0,Male,Mass Customer,NSW,Pharmacist,Health,True,12.0,4.0,9.0,1,0.0
252,3140,3,2194,673.21,38.0,Female,High Net Worth,NSW,Legal Assistant,Manufacturing,False,2.0,16.0,10.0,1,0.0
255,3406,10,2200,5463.639999999999,44.0,Female,Mass Customer,NSW,Business Systems Development Analyst,IT,True,35.0,10.0,9.0,3,9.0
265,2294,7,2227,5050.26,36.0,Male,Mass Customer,QLD,Associate Professor,Manufacturing,False,25.0,21.0,5.0,2,26.0
272,1031,3,2200,1463.88,40.0,Male,Mass Customer,QLD,Junior Executive,Manufacturing,False,75.0,6.0,7.0,1,28.0
275,993,9,2154,2738.8900000000003,46.0,Female,High Net Worth,NSW,Account Coordinator,Argiculture,False,71.0,17.0,3.0,2,18.0
284,1839,7,2203,2784.0,36.0,Female,High Net Worth,QLD,Internal Auditor,Entertainment,True,60.0,5.0,8.0,2,0.0
291,1824,7,2166,3263.7000000000003,64.0,Female,Affluent Customer,VIC,Safety Technician III,Manufacturing,True,12.0,5.0,6.0,2,31.0
298,3315,7,2155,4892.17,29.0,Female,Mass Customer,VIC,Account Executive,Property,True,77.0,5.0,7.0,2,28.0
305,75,8,2214,4979.94,45.0,Female,Mass Customer,NSW,VP Product Management,Property,False,28.0,19.0,8.0,3,17.0
313,1612,2,2221,2932.8199999999997,36.0,Male,High Net Worth,NSW,Community Outreach Specialist,Financial Services,True,70.0,22.0,4.0,1,3.0
315,419,7,2168,5027.37,42.0,Female,Affluent Customer,QLD,VP Marketing,Manufacturing,False,34.0,17.0,8.0,2,12.0
322,3307,5,2170,4311.99,45.0,Female,High Net Worth,QLD,Analyst Programmer,Health,False,96.0,14.0,2.0,2,24.0
327,1346,9,2169,6736.53,53.0,Male,Mass Customer,VIC,Administrative Assistant IV,Telecommunications,False,9.0,19.0,4.0,3,19.0
336,763,6,2228,3894.51,36.0,Female,Affluent Customer,NSW,Computer Systems Analyst IV,Manufacturing,False,95.0,12.0,5.0,2,35.0
342,2397,9,2207,4002.3199999999997,38.0,Male,Affluent Customer,NSW,Analyst Programmer,Retail,True,33.0,4.0,7.0,3,24.0
351,102,7,2196,2587.0099999999998,66.0,Male,Affluent Customer,NSW,Quality Control Specialist,Manufacturing,False,51.0,16.0,9.0,2,5.0
358,759,8,2177,2646.67,60.0,Male,High Net Worth,NSW,Clinical Specialist,Health,False,89.0,13.0,10.0,2,3.0
366,3297,6,2212,1521.43,48.0,Male,Mass Customer,VIC,Product Engineer,Manufacturing,False,39.0,13.0,6.0,1,17.0
372,1861,6,2183,3793.8100000000004,56.0,Female,Mass Customer,NSW,Geological Engineer,Manufacturing,True,26.0,8.0,7.0,2,2.0
378,1390,9,2155,3474.54,23.0,Female,High Net Worth,VIC,Accounting Assistant I,Retail,True,74.0,1.0,7.0,2,30.0
387,2682,8,2192,3092.6200000000003,36.0,Female,High Net Worth,QLD,Accountant III,Manufacturing,True,54.0,20.0,5.0,2,1.0
395,1579,10,2194,8102.620000000001,45.0,Female,Affluent Customer,NSW,Desktop Support Technician,Financial Services,True,40.0,17.0,10.0,3,0.0
405,2984,4,2312,3820.01,64.0,Female,Mass Customer,NSW,Payment Adjustment Coordinator,Manufacturing,True,48.0,13.0,11.0,0,18.0
409,3470,8,2156,7228.799999999999,56.0,Female,Affluent Customer,VIC,Recruiting Manager,Health,True,56.0,6.0,11.0,3,8.0
417,1,11,2161,3018.09,70.0,Female,Mass Customer,NSW,Executive Secretary,Health,True,93.0,11.0,10.0,3,28.0
428,757,5,2226,2946.73,46.0,Male,Mass Customer,QLD,Environmental Tech,Financial Services,False,91.0,18.0,8.0,2,3.0
433,32,7,2292,2823.12,28.0,Female,Affluent Customer,NSW,Legal Assistant,Manufacturing,False,17.0,4.0,9.0,2,0.0
440,2353,10,2235,4842.52,44.0,Male,Affluent Customer,NSW,Health Coach IV,Health,True,93.0,12.0,6.0,3,27.0
450,788,5,2193,2415.09,59.0,Male,Mass Customer,NSW,Social Worker,Health,False,62.0,11.0,9.0,1,0.0
455,1468,6,2263,3450.06,45.0,Female,Mass Customer,NSW,Financial Advisor,Financial Services,False,37.0,22.0,9.0,2,13.0
461,821,5,2187,2925.75,42.0,Male,Mass Customer,NSW,Financial Analyst,Financial Services,True,41.0,7.0,8.0,2,13.0
466,2489,8,2194,6854.85,47.0,Female,Mass Customer,NSW,Speech Pathologist,Retail,False,42.0,15.0,9.0,3,0.0
474,947,5,2234,2981.5200000000004,37.0,Female,Mass Customer,VIC,Pharmacist,Health,False,43.0,10.0,7.0,2,0.0
479,1076,12,2163,8104.54,23.0,Male,Affluent Customer,NSW,Pharmacist,Health,False,33.0,2.0,9.0,3,0.0
491,3320,10,2291,2739.5,29.0,Female,High Net Worth,VIC,Nuclear Power Engineer,Manufacturing,False,16.0,6.0,10.0,2,2.0
501,779,4,2236,1186.4099999999999,31.0,Female,High Net Worth,NSW,Staff Accountant III,Health,False,1.0,7.0,9.0,1,14.0
505,3296,11,2218,4920.72,49.0,Female,Affluent Customer,NSW,Quality Engineer,Financial Services,True,78.0,17.0,11.0,3,5.0
516,455,3,2221,1600.9,32.0,Male,Mass Customer,NSW,Civil Engineer,Manufacturing,True,97.0,5.0,10.0,1,2.0
519,1779,6,2283,5042.0,27.0,Male,Affluent Customer,VIC,Information Systems Manager,Argiculture,False,55.0,5.0,7.0,2,9.0
525,806,4,2185,2189.57,31.0,Male,Mass Customer,NSW,Sales Representative,Retail,True,66.0,7.0,9.0,1,7.0
529,1591,11,2183,5968.91,47.0,Male,Mass Customer,NSW,Operator,Manufacturing,True,4.0,14.0,12.0,3,15.0
540,678,3,2248,1606.99,28.0,Female,High Net Worth,QLD,Accounting Assistant II,IT,False,57.0,2.0,7.0,1,30.0
543,50,7,2180,4153.41,43.0,Male,Mass Customer,NSW,Account Executive,Manufacturing,True,38.0,16.0,10.0,2,28.0
550,1339,5,2256,4713.219999999999,44.0,Female,High Net Worth,VIC,Editor,IT,False,82.0,14.0,8.0,2,34.0
555,2503,4,2262,2609.51,56.0,Male,Affluent Customer,NSW,Budget/Accounting Analyst I,Health,True,80.0,10.0,7.0,1,29.0
559,1057,3,2266,2488.8,54.0,Female,Mass Customer,NSW,Registered Nurse,Health,False,73.0,5.0,12.0,0,10.0
562,1397,6,2291,4563.950000000001,44.0,Male,Mass Customer,VIC,Legal Assistant,Manufacturing,True,29.0,14.0,5.0,2,0.0
568,2134,5,2235,3923.57,23.0,Male,Affluent Customer,VIC,Nurse,Manufacturing,False,16.0,2.0,3.0,2,10.0
573,2403,5,2304,965.8499999999999,46.0,Female,Affluent Customer,NSW,Technical Writer,Financial Services,False,41.0,12.0,10.0,0,0.0
578,1937,6,2188,4274.780000000001,49.0,Male,Mass Customer,NSW,Quality Engineer,Health,False,69.0,19.0,3.0,2,5.0
584,1282,8,2192,5521.41,43.0,Male,Affluent Customer,QLD,Programmer Analyst III,Entertainment,True,99.0,14.0,5.0,3,24.0
592,2183,14,2162,6513.299999999999,51.0,Female,Mass Customer,QLD,Programmer Analyst IV,Manufacturing,True,61.0,7.0,4.0,3,24.0
606,1788,9,2183,4979.39,59.0,Female,High Net Worth,NSW,Account Representative IV,Financial Services,True,79.0,10.0,5.0,3,33.0
615,1170,5,2240,3351.7,58.0,Female,Mass Customer,QLD,Assistant Professor,IT,True,62.0,4.0,9.0,2,26.0
620,1940,4,2230,3259.41,46.0,Female,High Net Worth,QLD,Teacher,Manufacturing,True,52.0,8.0,6.0,1,0.0
624,2728,8,2161,4054.59,64.0,Female,High Net Worth,VIC,Physical Therapy Assistant,IT,False,55.0,19.0,11.0,2,0.0
632,1217,7,2164,3270.61,55.0,Female,High Net Worth,NSW,Structural Engineer,Manufacturing,False,67.0,16.0,4.0,2,2.0
639,2992,8,2163,6871.539999999999,49.0,Female,Mass Customer,VIC,Clinical Specialist,Health,True,26.0,10.0,5.0,3,3.0
647,2748,4,2160,2059.83,56.0,Female,Mass Customer,NSW,Quality Engineer,Financial Services,False,96.0,4.0,11.0,1,5.0
651,3067,6,2193,3575.8999999999996,32.0,Female,Mass Customer,VIC,Chief Design Engineer,Manufacturing,True,8.0,9.0,6.0,2,16.0
657,701,6,2186,2215.5600000000004,67.0,Male,Mass Customer,QLD,Food Chemist,Health,True,18.0,8.0,5.0,2,0.0
663,648,7,2211,4222.63,45.0,Male,Mass Customer,QLD,Accountant II,Financial Services,True,86.0,9.0,7.0,2,1.0
670,3286,11,2163,5817.4400000000005,62.0,Male,Mass Customer,VIC,Assistant Media Planner,Entertainment,False,23.0,20.0,7.0,3,0.0
681,3383,5,2183,4177.32,41.0,Male,Affluent Customer,VIC,Financial Analyst,Financial Services,True,47.0,10.0,8.0,2,13.0
686,982,6,2209,943.9300000000001,63.0,Male,High Net Worth,NSW,Geologist III,Health,True,14.0,6.0,6.0,1,21.0
692,385,9,2232,5220.5199999999995,56.0,Male,High Net Worth,NSW,Project Manager,Health,False,69.0,9.0,9.0,3,8.0
701,1229,9,2173,3005.63,23.0,Male,Affluent Customer,NSW,GIS Technical Architect,Manufacturing,True,38.0,1.0,11.0,2,0.0
710,3232,13,2162,8903.62,30.0,Female,Mass Customer,VIC,Payment Adjustment Coordinator,Financial Services,True,7.0,9.0,10.0,3,18.0
723,2381,7,2183,2731.88,50.0,Female,Affluent Customer,NSW,Programmer I,Argiculture,True,91.0,5.0,9.0,2,24.0
730,371,5,2163,5004.52,69.0,Male,Mass Customer,VIC,Systems Administrator III,Financial Services,False,7.0,7.0,4.0,2,20.0
735,2519,4,2262,456.6299999999999,44.0,Male,Mass Customer,QLD,Senior Developer,Manufacturing,True,76.0,5.0,2.0,1,4.0
739,2264,6,2307,2557.6200000000003,51.0,Female,Affluent Customer,VIC,Occupational Therapist,Health,False,18.0,9.0,6.0,0,0.0
745,2637,11,2208,11222.65,51.0,Female,Mass Customer,NSW,Help Desk Operator,Retail,True,28.0,11.0,10.0,3,15.0
756,456,5,2242,2183.0999999999995,47.0,Male,Affluent Customer,NSW,Automation Specialist I,Manufacturing,True,47.0,17.0,7.0,1,36.0
761,3121,6,2202,3164.13,64.0,Male,Mass Customer,NSW,Data Coordiator,Manufacturing,False,82.0,19.0,7.0,2,0.0
767,2365,5,2155,2411.63,25.0,Female,Mass Customer,QLD,Structural Analysis Engineer,Argiculture,True,2.0,3.0,6.0,1,2.0
772,2528,7,2179,4870.35,45.0,Male,Affluent Customer,QLD,Senior Editor,Financial Services,False,81.0,15.0,7.0,2,34.0
779,3241,6,2161,3695.15,44.0,Male,Mass Customer,QLD,Budget/Accounting Analyst IV,Manufacturing,True,34.0,16.0,7.0,2,29.0
785,2234,6,2211,1719.1599999999999,37.0,Male,Mass Customer,NSW,Electrical Engineer,Manufacturing,False,48.0,18.0,12.0,1,2.0
791,1365,4,2371,818.7200000000001,31.0,Male,Mass Customer,VIC,Research Associate,Health,False,97.0,3.0,5.0,0,40.0
795,3349,5,2375,2496.51,42.0,Male,Affluent Customer,VIC,Director of Sales,Argiculture,False,11.0,9.0,9.0,0,7.0
800,2282,6,2168,3131.5100000000007,66.0,Male,Affluent Customer,VIC,Senior Financial Analyst,Financial Services,True,81.0,7.0,4.0,2,13.0
806,2582,5,2206,2912.8100000000004,46.0,Male,Mass Customer,QLD,Director of Sales,Health,False,98.0,7.0,7.0,2,7.0
811,1005,5,2313,4365.25,56.0,Female,High Net Worth,NSW,Design Engineer,IT,True,94.0,8.0,9.0,0,16.0
816,1597,11,2179,8710.7,46.0,Male,Affluent Customer,NSW,Nurse Practicioner,Retail,False,93.0,14.0,10.0,3,10.0
827,2713,2,2154,755.3000000000001,69.0,Male,Affluent Customer,NSW,Statistician II,Retail,True,55.0,5.0,11.0,1,39.0
829,1435,7,2187,5393.83,55.0,Male,Affluent Customer,NSW,Software Engineer II,Telecommunications,True,96.0,19.0,8.0,3,6.0
836,1254,7,2191,3436.5000000000005,64.0,Male,Mass Customer,QLD,Graphic Designer,Retail,True,60.0,5.0,1.0,2,11.0
843,1423,6,2178,3233.09,64.0,Female,Mass Customer,NSW,Project Manager,Manufacturing,False,51.0,19.0,9.0,2,8.0
849,591,2,2375,484.9599999999999,49.0,Male,Affluent Customer,NSW,Business Systems Development Analyst,Entertainment,False,16.0,16.0,11.0,0,9.0
851,1017,3,2380,2858.8900000000003,44.0,Female,High Net Worth,NSW,Assistant Media Planner,Entertainment,False,88.0,16.0,11.0,0,0.0
854,2123,6,2349,2289.21,30.0,Female,Affluent Customer,QLD,Software Engineer II,Manufacturing,False,36.0,2.0,10.0,0,6.0
860,2041,6,2234,3799.8600000000006,66.0,Male,Mass Customer,NSW,VP Accounting,Financial Services,False,52.0,17.0,9.0,2,7.0
866,141,3,2313,2138.3500000000004,69.0,Male,High Net Worth,NSW,Teacher,Financial Services,True,67.0,10.0,11.0,0,0.0
869,1321,7,2257,2398.25,29.0,Female,Affluent Customer,QLD,Editor,Argiculture,False,29.0,8.0,6.0,2,34.0
876,183,6,2256,3187.84,26.0,Female,Affluent Customer,NSW,Geologist III,Retail,False,7.0,3.0,10.0,2,21.0
882,1596,3,2289,2786.02,54.0,Male,High Net Worth,NSW,Cost Accountant,Financial Services,True,2.0,8.0,12.0,0,1.0
885,520,5,2170,819.2600000000001,59.0,Female,Affluent Customer,NSW,VP Quality Control,Financial Services,True,66.0,15.0,9.0,1,5.0
890,868,6,2237,5534.83,44.0,Female,Mass Customer,NSW,VP Accounting,Financial Services,True,84.0,11.0,10.0,2,7.0
896,352,6,2179,4404.4,44.0,Male,Mass Customer,QLD,Sales Representative,Retail,False,12.0,4.0,6.0,2,7.0
902,1502,9,2180,6209.679999999999,33.0,Female,Affluent Customer,NSW,Design Engineer,Financial Services,True,52.0,11.0,4.0,3,16.0
911,936,11,2186,8661.63,35.0,Male,High Net Worth,VIC,Speech Pathologist,Health,False,64.0,3.0,2.0,3,0.0
922,939,4,2185,1818.27,62.0,Male,Mass Customer,NSW,Product Engineer,Manufacturing,False,53.0,6.0,9.0,1,17.0
926,2698,7,2166,3987.65,49.0,Female,High Net Worth,NSW,Administrative Officer,Health,False,19.0,20.0,8.0,2,19.0
933,579,9,2206,4204.6,49.0,Female,Mass Customer,NSW,Software Engineer II,Health,False,89.0,12.0,10.0,3,6.0
942,3077,7,2170,3672.15,23.0,Male,Affluent Customer,NSW,Information Systems Manager,Manufacturing,False,19.0,2.0,10.0,2,9.0
949,369,8,2255,3931.7699999999995,32.0,Male,Mass Customer,VIC,Actuary,Financial Services,True,19.0,9.0,10.0,2,0.0
957,2687,7,2171,3107.24,61.0,Male,High Net Worth,NSW,Chemical Engineer,Manufacturing,True,67.0,20.0,10.0,2,2.0
964,681,6,2161,2244.1899999999996,45.0,Female,Mass Customer,NSW,VP Product Management,Manufacturing,True,55.0,17.0,9.0,2,17.0
970,37,9,2161,6338.49,37.0,Female,High Net Worth,QLD,Social Worker,Health,False,46.0,16.0,1.0,3,0.0
979,396,6,2183,4647.13,56.0,Female,High Net Worth,NSW,Systems Administrator III,Telecommunications,True,98.0,16.0,11.0,2,20.0
985,2325,5,2275,2178.83,59.0,Male,High Net Worth,VIC,Database Administrator IV,Retail,True,50.0,12.0,8.0,0,32.0
990,1420,5,2192,2121.64,64.0,Female,Mass Customer,NSW,Dental Hygienist,Health,False,14.0,11.0,8.0,1,0.0
995,546,5,2191,4449.53,42.0,Female,Mass Customer,NSW,Information Systems Manager,Health,True,80.0,12.0,2.0,2,9.0
1000,2885,9,2248,4839.410000000001,54.0,Female,Mass Customer,NSW,Compensation Analyst,Financial Services,True,70.0,4.0,8.0,3,9.0
1009,2740,8,2180,4905.530000000001,60.0,Female,Affluent Customer,NSW,Administrative Officer,Financial Services,True,61.0,12.0,7.0,3,19.0
1017,3166,7,2201,5155.63,68.0,Male,Mass Customer,NSW,Social Worker,Health,False,96.0,20.0,8.0,2,0.0
1024,3487,3,2164,1837.7500000000002,45.0,Female,High Net Worth,VIC,Analyst Programmer,Health,False,4.0,18.0,9.0,1,24.0
1027,3393,5,2156,2095.7700000000004,69.0,Female,Mass Customer,NSW,Technical Writer,Retail,True,23.0,7.0,12.0,1,0.0
1032,2410,6,2190,3695.7300000000005,49.0,Female,Mass Customer,VIC,Geological Engineer,Manufacturing,True,75.0,21.0,11.0,2,2.0
1038,3466,3,2222,272.7900000000002,44.0,Male,Mass Customer,VIC,Marketing Assistant,IT,False,65.0,18.0,11.0,1,12.0
1041,1454,5,2159,2240.5,44.0,Male,Mass Customer,NSW,Physical Therapy Assistant,Argiculture,True,4.0,3.0,9.0,1,0.0
1046,3089,4,2181,3618.44,23.0,Male,Affluent Customer,QLD,Web Developer III,Manufacturing,True,27.0,2.0,7.0,1,4.0
1050,3123,4,2154,1248.49,47.0,Female,High Net Worth,NSW,Dental Hygienist,Health,False,71.0,20.0,6.0,1,0.0
1054,2692,3,2194,854.24,34.0,Female,High Net Worth,VIC,Research Associate,Health,True,57.0,22.0,7.0,1,40.0
1057,1580,8,2209,3225.0,42.0,Male,High Net Worth,QLD,Associate Professor,Retail,False,23.0,5.0,3.0,2,26.0
1065,1777,6,2224,2651.76,29.0,Female,Affluent Customer,NSW,Sales Representative,Retail,False,47.0,1.0,11.0,2,7.0
1071,142,11,2158,3917.3399999999997,56.0,Male,Affluent Customer,VIC,Quality Engineer,Health,False,57.0,17.0,9.0,3,5.0
1082,1258,8,2206,5441.22,45.0,Male,Mass Customer,QLD,Geological Engineer,Manufacturing,False,89.0,6.0,1.0,3,2.0
1090,3405,9,2206,6167.71,27.0,Female,Mass Customer,QLD,Project Manager,Financial Services,True,89.0,3.0,6.0,3,8.0
1099,3198,4,2255,3989.3499999999995,26.0,Male,Mass Customer,VIC,Media Manager III,Manufacturing,True,66.0,1.0,8.0,2,38.0
1103,834,4,2172,722.3,50.0,Male,Mass Customer,VIC,Environmental Tech,Financial Services,False,37.0,3.0,7.0,1,3.0
1107,3467,6,2159,5135.0,43.0,Male,Mass Customer,QLD,VP Quality Control,IT,False,31.0,21.0,6.0,2,5.0
1113,1516,5,2191,4256.32,56.0,Male,Affluent Customer,NSW,VP Sales,IT,False,6.0,19.0,10.0,2,7.0
1118,2362,3,2199,959.32,51.0,Male,Affluent Customer,NSW,Developer II,Financial Services,True,49.0,19.0,9.0,1,4.0
1121,2337,3,2326,398.42999999999995,23.0,Female,Mass Customer,NSW,Programmer Analyst II,Health,False,47.0,1.0,6.0,0,24.0
1124,2133,5,2274,3126.8399999999997,25.0,Female,High Net Worth,NSW,General Manager,Financial Services,False,44.0,3.0,1.0,2,8.0
1129,360,5,2162,5070.23,67.0,Female,Mass Customer,NSW,Staff Scientist,Property,True,64.0,19.0,7.0,2,14.0
1134,1720,5,2177,3538.0499999999997,37.0,Female,Mass Customer,VIC,Staff Accountant II,Financial Services,True,96.0,13.0,11.0,2,14.0
1139,2904,7,2177,3163.39,46.0,Female,High Net Worth,NSW,Software Test Engineer III,Manufacturing,True,26.0,11.0,9.0,2,6.0
1146,754,2,2364,93.00999999999999,44.0,Female,Mass Customer,VIC,Senior Financial Analyst,Financial Services,False,15.0,14.0,4.0,0,13.0
1148,1826,7,2194,3405.78,62.0,Male,High Net Worth,NSW,Chemical Engineer,Manufacturing,True,33.0,7.0,11.0,2,2.0
1155,2487,4,2252,2180.75,45.0,Male,Affluent Customer,VIC,Operator,IT,True,92.0,14.0,7.0,1,15.0
1159,2024,6,2183,3558.4100000000003,23.0,Female,Mass Customer,QLD,VP Sales,IT,True,69.0,2.0,3.0,2,7.0
1165,768,9,2159,5580.570000000001,49.0,Female,Affluent Customer,NSW,Web Developer IV,Argiculture,True,5.0,21.0,9.0,3,4.0
1174,529,6,2166,2339.14,34.0,Male,Affluent Customer,NSW,Operator,Retail,True,18.0,10.0,9.0,2,15.0
1180,624,3,2244,3352.89,47.0,Male,Mass Customer,NSW,Research Assistant II,Manufacturing,True,44.0,13.0,8.0,1,22.0
1183,2302,3,2207,2611.15,24.0,Female,Mass Customer,VIC,Mechanical Systems Engineer,Retail,True,43.0,4.0,8.0,1,9.0
1186,3380,5,2217,2793.81,68.0,Male,High Net Worth,VIC,Speech Pathologist,Manufacturing,True,41.0,14.0,5.0,1,0.0
1191,314,8,2174,3200.15,61.0,Female,High Net Worth,VIC,Marketing Assistant,Retail,True,27.0,5.0,3.0,2,12.0
1199,1079,4,2171,2306.99,45.0,Male,Mass Customer,NSW,Nurse Practicioner,Manufacturing,False,70.0,18.0,9.0,1,10.0
1203,1524,8,2191,2724.5199999999995,48.0,Female,Mass Customer,NSW,Administrative Officer,Financial Services,True,7.0,16.0,8.0,2,19.0
1211,772,6,2156,4423.8,24.0,Female,Mass Customer,NSW,Community Outreach Specialist,Entertainment,False,12.0,4.0,7.0,2,3.0
1217,323,6,2189,2020.73,50.0,Female,Mass Customer,QLD,Senior Developer,Health,True,54.0,7.0,9.0,2,4.0
1223,2745,2,2421,2772.1,46.0,Female,Mass Customer,NSW,Chemical Engineer,Manufacturing,True,8.0,18.0,8.0,0,2.0
1225,2819,4,2316,2500.31,45.0,Male,Affluent Customer,NSW,Executive Secretary,Manufacturing,False,63.0,14.0,10.0,0,28.0
1229,923,7,2186,3337.16,46.0,Male,High Net Worth,QLD,Senior Financial Analyst,Financial Services,False,44.0,19.0,4.0,2,13.0
1236,3394,5,2173,4073.2,49.0,Male,Mass Customer,NSW,Environmental Specialist,Health,False,39.0,22.0,10.0,2,3.0
1241,3260,3,2278,1938.37,44.0,Female,High Net Worth,QLD,Research Associate,Telecommunications,False,6.0,11.0,4.0,0,40.0
1244,1015,6,2180,2136.87,68.0,Male,Mass Customer,VIC,Web Developer I,Health,False,7.0,17.0,8.0,2,4.0
1250,58,8,2174,3501.37,56.0,Female,Affluent Customer,NSW,Office Assistant III,Financial Services,True,26.0,17.0,9.0,2,23.0
1258,3118,9,2166,6243.82,30.0,Male,High Net Worth,QLD,Occupational Therapist,Health,False,54.0,9.0,8.0,3,0.0
1267,1414,2,2172,630.21,43.0,Female,Mass Customer,NSW,Help Desk Technician,Retail,True,57.0,10.0,8.0,1,15.0
1269,2202,10,2212,5090.61,46.0,Female,Affluent Customer,NSW,Physical Therapy Assistant,Financial Services,True,46.0,8.0,11.0,3,0.0
